white wins.[66, 80].[62, 24].14.61
black wins.[66, 80].[10, 47].24.61
white wins.[7, 94].[10, 47].26.61
black wins.[7, 94].[8, 58].39.61
black wins.[62, 15].[8, 58].28.61
white wins.[97, 79].[8, 58].24.61
white wins.[97, 79].[74, 87].17.61
white wins.[97, 79].[89, 16].18.61
white wins.[97, 79].[63, 53].19.61
white wins.[97, 79].[15, 12].20.61
white wins.[97, 79].[30, 18].18.61
white wins.[97, 79].[60, 45].25.63
black wins.[97, 79].[17, 86].22.61
white wins.[77, 4].[17, 86].22.61
black wins.[77, 4].[59, 51].19.61
black wins.[9, 64].[59, 51].17.61
white wins.[2, 77].[59, 51].26.61
white wins.[2, 77].[36, 7].18.61
white wins.[2, 77].[64, 12].18.61
white wins.[2, 77].[52, 6].18.61
white wins.[2, 77].[91, 99].24.61
white wins.[2, 77].[36, 72].28.61
black wins.[2, 77].[48, 13].14.61
black wins.[71, 8].[48, 13].20.61
black wins.[93, 2].[48, 13].15.61
white wins.[2, 32].[48, 13].20.61
white wins.[2, 32].[79, 18].20.61
black wins.[2, 32].[79, 8].15.61
black wins.[96, 8].[79, 8].16.61
white wins.[39, 87].[79, 8].12.61
white wins.[39, 87].[29, 79].24.61
white wins.[39, 87].[16, 84].26.65
draw.[39, 87].[64, 93].27.61
white wins.[70, 66].[63, 79].18.61
draw.[70, 66].[24, 67].23.61
white wins.[20, 71].[29, 36].18.61
white wins.[20, 71].[12, 65].25.61
draw.[20, 71].[40, 68].20.61
black wins.[16, 76].[42, 1].13.61
white wins.[16, 3].[42, 1].14.61
black wins.[16, 3].[49, 20].16.61
white wins.[80, 97].[49, 20].17.61
white wins.[80, 97].[33, 61].19.63
black wins.[80, 97].[58, 6].11.61
white wins.[44, 56].[58, 6].9.61
black wins.[44, 56].[6, 69].24.61
white wins.[6, 63].[6, 69].30.61
black wins.[6, 63].[79, 50].16.61
white wins.[85, 8].[79, 50].21.61
black wins.[85, 8].[51, 43].18.61
black wins.[3, 8].[51, 43].18.61
white wins.[85, 62].[51, 43].22.61
white wins.[85, 62].[33, 50].20.61
white wins.[85, 62].[83, 12].15.61
white wins.[85, 62].[44, 68].17.61
white wins.[85, 62].[35, 47].18.61
white wins.[85, 62].[16, 66].17.61
white wins.[85, 62].[36, 77].22.61
white wins.[85, 62].[40, 59].17.61
white wins.[85, 62].[33, 38].17.61
white wins.[85, 62].[20, 89].17.63
white wins.[85, 62].[17, 21].17.61
white wins.[85, 62].[65, 33].19.61
white wins.[85, 62].[1, 97].19.63
white wins.[85, 62].[85, 53].29.61
end.1303.65
